id,mean_fullfit,mean_bootstrap,median,CIlo,CIhi,Q1,Q3
NUM_APPS_2 x SECURED_LOAN_PURPOSE_CODE_1,0.037818142,0.038218735,0.03724054,0.018691595,0.057138363,0.027542434,0.047566871
NUM_EXIST_WBC_ACCTS_0 x SECURED_LOAN_PURPOSE_CODE_0,0.040674185,0.03283888,0.029912687,0,0.071026028,0.015773968,0.050218431
NUM_APPS_1 x SECURED_LOAN_PURPOSE_CODE_4,-0.029834262,-0.030692887,-0.031363869,-0.045514654,-0.015216771,-0.03730277,-0.023506828
NUM_EXIST_WBC_ACCTS_7 x DRIVERS_LICENCE_IND_2_0,0.038318465,0.030227039,0.028553832,0.008099787,0.058087215,0.019183629,0.035958632
NUM_EXIST_WBC_ACCTS_7 x DRIVERS_LICENCE_IND_2_1,-0.03831841,-0.030227003,-0.02855384,-0.058087153,-0.008099715,-0.035958594,-0.019183671
DRIVERS_LICENCE_IND_2_1,0.023330449,0.029195239,0.024982541,0.00628812,0.065867182,0.016886381,0.032126466
NUM_APPS_2 x SECURED_LOAN_PURPOSE_CODE_2,0.026079147,0.027113914,0.025969496,0.013257469,0.040309397,0.021758033,0.032243172
NUM_APPS_1 x SECURED_LOAN_PURPOSE_CODE_2,-0.026125209,-0.027104485,-0.02535606,-0.041382285,-0.01324432,-0.032483023,-0.021289716
NUM_EXIST_WBC_ACCTS_9,-0.020033465,-0.025011504,-0.023766234,-0.041728025,-0.003674938,-0.036876186,-0.016865403
DRIVERS_LICENCE_IND_1_0 x NUM_APPS,0.023291274,0.024767801,0.024378618,0.003749094,0.042972864,0.017112045,0.03273725
DRIVERS_LICENCE_IND_1_1 x NUM_APPS,-0.023291274,-0.024767801,-0.024378618,-0.042972864,-0.003749094,-0.03273725,-0.017112045
SECURED_LOAN_PURPOSE_CODE_4,-0.024999212,-0.024094097,-0.023658989,-0.03040917,-0.018897598,-0.025967229,-0.021774733
DRIVERS_LICENCE_IND_2_0,-0.023329885,-0.024053398,-0.024351571,-0.040082387,-0.00628798,-0.03011943,-0.016887104
NUM_EXIST_WBC_ACCTS_6 x DRIVERS_LICENCE_IND_2_0,0.024752604,0.022361082,0.021849537,-0.001862227,0.047815374,0.013910506,0.033351255
NUM_EXIST_WBC_ACCTS_6 x DRIVERS_LICENCE_IND_2_1,-0.02475255,-0.022361047,-0.021849689,-0.04781537,0.001862238,-0.033351141,-0.013910472
NUM_EXIST_WBC_ACCTS_1 x SECURED_LOAN_PURPOSE_CODE_4,-0.027399827,-0.021787484,-0.020819921,-0.041376175,0,-0.034252662,-0.009635072
NUM_EXIST_WBC_ACCTS_8 x DRIVERS_LICENCE_IND_2_0,0.027724394,0.021689054,0.021218109,0.002920621,0.040078377,0.014760034,0.030813318
NUM_EXIST_WBC_ACCTS_8 x DRIVERS_LICENCE_IND_2_1,-0.02772434,-0.021689019,-0.021218149,-0.040078271,-0.002920453,-0.030813217,-0.014759893
NUM_APPS_1 x SECURED_LOAN_PURPOSE_CODE_3,-0.019939435,-0.021509999,-0.020853976,-0.037825093,-0.009020263,-0.026312324,-0.016630777
NUM_APPS_2 x SECURED_LOAN_PURPOSE_CODE_4,0.020208722,0.020884251,0.021554585,0.010097563,0.030653361,0.015997047,0.025353703
NUM_EXIST_WBC_ACCTS_1 x SECURED_LOAN_PURPOSE_CODE_3,-0.025428288,-0.020446369,-0.01961194,-0.038978219,0,-0.031487464,-0.008955359
NUM_EXIST_WBC_ACCTS_9 x DRIVERS_LICENCE_IND_2_0,0.024983184,0.020423367,0.020786755,0.004632318,0.033955698,0.014357164,0.026111401
NUM_EXIST_WBC_ACCTS_9 x DRIVERS_LICENCE_IND_2_1,-0.02498313,-0.020423331,-0.0207868,-0.03395571,-0.004632308,-0.026111312,-0.014357262
NUM_APPS_1 x LN_PROTECTION_INS_IND_1,-0.02276313,-0.020335881,-0.01810236,-0.052013664,0,-0.029047929,-0.00499632
NUM_APPS_1 x LN_PROTECTION_INS_IND_0,0.022763282,0.020335864,0.018102331,0,0.052013752,0.004996313,0.029047628
NUM_EXIST_WBC_ACCTS_10,-0.015783082,-0.020114544,-0.019934805,-0.03143849,-0.005745503,-0.025998902,-0.015279219
NUM_EXIST_WBC_ACCTS_1 x SECURED_LOAN_PURPOSE_CODE_2,-0.025182886,-0.019973769,-0.018807891,-0.038467196,0,-0.031545467,-0.008797534
NUM_EXIST_WBC_ACCTS_6 x SECURED_LOAN_PURPOSE_CODE_0,-0.024576264,-0.01972818,-0.019005427,-0.042844683,0,-0.028269656,-0.00924653
NUM_EXIST_WBC_ACCTS_5 x SECURED_LOAN_PURPOSE_CODE_0,-0.023356236,-0.019099077,-0.018119031,-0.043003405,0,-0.028459699,-0.007027945
NUM_EXIST_WBC_ACCTS_3 x DRIVERS_LICENCE_IND_2_0,0.025960096,0.01893946,0.016482591,0.004302685,0.039156146,0.009187554,0.026335646
NUM_EXIST_WBC_ACCTS_3 x DRIVERS_LICENCE_IND_2_1,-0.025960041,-0.018939425,-0.01648256,-0.039156053,-0.004302661,-0.026335626,-0.009187508
NUM_APPS_2 x SECURED_LOAN_PURPOSE_CODE_3,0.017350132,0.018362523,0.017441193,0.008804425,0.030200131,0.014275808,0.021814732
NUM_EXIST_WBC_ACCTS_4 x DRIVERS_LICENCE_IND_2_0,0.023677328,0.01818835,0.016760182,0.001778681,0.035178332,0.011256904,0.026206174
NUM_EXIST_WBC_ACCTS_4 x DRIVERS_LICENCE_IND_2_1,-0.023677274,-0.018188314,-0.016760133,-0.035178282,-0.001778651,-0.026206122,-0.011256884
NUM_EXIST_WBC_ACCTS_1 x SECURED_LOAN_PURPOSE_CODE_1,-0.022946907,-0.0181234,-0.016032149,-0.038522496,0,-0.028346312,-0.010282359
SEC_FLAG_1,0.003755277,0.018046986,0.008726331,0,0.062554221,0.000122283,0.028794956
DRIVERS_LICENCE_IND_2_0 x SECURED_LOAN_PURPOSE_CODE_4,0.018792154,0.016746965,0.017609242,0.000661847,0.027738944,0.010860552,0.023290185
DRIVERS_LICENCE_IND_2_1 x SECURED_LOAN_PURPOSE_CODE_4,-0.018792772,-0.016746828,-0.017609182,-0.027738849,-0.000661857,-0.023289743,-0.010860314
DRIVERS_LICENCE_IND_2_0 x SECURED_LOAN_PURPOSE_CODE_2,0.018492126,0.016585994,0.016769369,0.000655165,0.02846399,0.011017429,0.022865444
DRIVERS_LICENCE_IND_2_1 x SECURED_LOAN_PURPOSE_CODE_2,-0.018492744,-0.016585857,-0.01676982,-0.028463827,-0.000655174,-0.022864503,-0.011017483
NUM_EXIST_WBC_ACCTS_2 x SECURED_LOAN_PURPOSE_CODE_1,-0.019404868,-0.016041242,-0.015483011,-0.038824398,0,-0.02462076,-0.005402256
NUM_EXIST_WBC_ACCTS_7 x SECURED_LOAN_PURPOSE_CODE_0,-0.018503086,-0.015162539,-0.01232789,-0.036384568,0,-0.02034681,-0.006966887
NUM_EXIST_WBC_ACCTS_8 x SECURED_LOAN_PURPOSE_CODE_0,-0.016990769,-0.014055402,-0.011526123,-0.032909882,0,-0.021419884,-0.006249743
NUM_EXIST_WBC_ACCTS_11 x DRIVERS_LICENCE_IND_2_0,0.014515395,0.013565355,0.012634396,0.001449086,0.02391183,0.008702802,0.019389892
NUM_EXIST_WBC_ACCTS_11 x DRIVERS_LICENCE_IND_2_1,-0.01451534,-0.013565319,-0.012634441,-0.023911662,-0.001449073,-0.019389823,-0.008702789
NUM_EXIST_WBC_ACCTS_0 x SECURED_LOAN_PURPOSE_CODE_4,-0.016583302,-0.013305969,-0.012418783,-0.027238938,0,-0.020582847,-0.006470063
DRIVERS_LICENCE_IND_2_0 x SECURED_LOAN_PURPOSE_CODE_3,0.014236505,0.013197914,0.013718509,0.000478081,0.023699997,0.008769959,0.017999755
DRIVERS_LICENCE_IND_2_1 x SECURED_LOAN_PURPOSE_CODE_3,-0.014237123,-0.013197776,-0.01371877,-0.023699282,-0.000478091,-0.01800174,-0.008770163
NUM_EXIST_WBC_ACCTS_3 x SECURED_LOAN_PURPOSE_CODE_1,-0.016083166,-0.013144593,-0.010933606,-0.028258014,0,-0.020625081,-0.005719164
SECURED_LOAN_PURPOSE_CODE_0 x NUM_APPS,0.011131521,0.011815915,0.007810449,0,0.034588084,0,0.019985659
LN_PROTECTION_INS_IND_0 x DRIVERS_LICENCE_IND_2,0.015203016,0.011795069,0.010598465,0,0.032345653,4.23E-05,0.020458726
LN_PROTECTION_INS_IND_1 x DRIVERS_LICENCE_IND_2,-0.015203016,-0.011795069,-0.010598465,-0.032345653,0,-0.020458726,-4.23E-05
DRIVERS_LICENCE_IND_1_0 x NUM_EXIST_WBC_ACCTS,0.012694109,0.010973343,0.010567667,0,0.028545109,0.001765247,0.016347832
DRIVERS_LICENCE_IND_1_1 x NUM_EXIST_WBC_ACCTS,-0.012694109,-0.010973343,-0.010567667,-0.028545109,0,-0.016347832,-0.001765247
NUM_EXIST_WBC_ACCTS_10 x DRIVERS_LICENCE_IND_2_0,0.011041124,0.010425007,0.010051213,0.001241928,0.02108152,0.005498606,0.013557306
NUM_EXIST_WBC_ACCTS_10 x DRIVERS_LICENCE_IND_2_1,-0.011041069,-0.010424971,-0.010051048,-0.021081367,-0.001241876,-0.013557287,-0.005498586
SEC_FLAG_0,-0.002577559,-0.010385556,-0.007643501,-0.030666492,0,-0.017389681,-0.00012229
NUM_APPS_2 x LN_PROTECTION_INS_IND_0,-0.0110755,-0.010329553,-0.008584378,-0.026983523,0,-0.01543993,-0.002479535
NUM_APPS_2 x LN_PROTECTION_INS_IND_1,0.011075653,0.010329536,0.008584288,0,0.026984211,0.002479528,0.01544012
NUM_EXIST_WBC_ACCTS_4 x SECURED_LOAN_PURPOSE_CODE_1,-0.011736955,-0.010135598,-0.008291385,-0.022148825,0,-0.01602151,-0.00430904
NUM_APPS_0 x LN_PROTECTION_INS_IND_0,-0.011687554,-0.010006337,-0.00953191,-0.026227109,0,-0.01428789,-0.002516788
NUM_APPS_0 x LN_PROTECTION_INS_IND_1,0.011687706,0.010006319,0.009531751,0,0.02622708,0.002516781,0.014288124
NUM_APPS_0 x SECURED_LOAN_PURPOSE_CODE_4,0.009625194,0.00980876,0.010139463,0.004901909,0.015757443,0.007173113,0.011852006
NUM_EXIST_WBC_ACCTS_10 x SECURED_LOAN_PURPOSE_CODE_0,-0.009678912,-0.008700572,-0.007217687,-0.019187026,0,-0.012539499,-0.004272887
NUM_EXIST_WBC_ACCTS_2 x SECURED_LOAN_PURPOSE_CODE_3,-0.009925367,-0.008666781,-0.008434035,-0.017398781,0,-0.012315315,-0.003892382
NUM_EXIST_WBC_ACCTS_9 x SECURED_LOAN_PURPOSE_CODE_0,-0.010238394,-0.008582186,-0.007793814,-0.01887361,0,-0.013868697,-0.00239828
NUM_EXIST_WBC_ACCTS_0 x SECURED_LOAN_PURPOSE_CODE_2,-0.010261296,-0.008356849,-0.008175908,-0.01750471,0,-0.012330132,-0.003813833
NUM_EXIST_WBC_ACCTS_4 x SECURED_LOAN_PURPOSE_CODE_0,-0.010774391,-0.007906874,-0.00654162,-0.019300346,0,-0.012048455,-0.002527232
SECURED_LOAN_PURPOSE_CODE_3,-0.006715894,-0.007660495,-0.007466788,-0.016188479,0.001960871,-0.01209587,-0.003675647
NUM_EXIST_WBC_ACCTS_5 x SECURED_LOAN_PURPOSE_CODE_2,0.009180484,0.007351578,0.007454703,0,0.015430054,0.002729477,0.010793563
NUM_EXIST_WBC_ACCTS_2 x SECURED_LOAN_PURPOSE_CODE_4,-0.009328174,-0.007277977,-0.006881933,-0.015093231,0,-0.011161411,-0.003484779
NUM_EXIST_WBC_ACCTS_3 x SECURED_LOAN_PURPOSE_CODE_2,0.009007368,0.007277023,0.006807796,0,0.015779533,0.003199901,0.011053594
NUM_EXIST_WBC_ACCTS_4 x SECURED_LOAN_PURPOSE_CODE_3,0.008497319,0.007097718,0.006386473,0,0.017658923,0.002784602,0.009422838
NUM_EXIST_WBC_ACCTS_12,0.005806638,0.007053133,0.008974094,-0.006719327,0.019364558,0.000301864,0.014524725
NUM_EXIST_WBC_ACCTS_18 x DRIVERS_LICENCE_IND_2_0,0.007987621,0.006953177,0.007246886,0.001943379,0.010441278,0.005488995,0.008808855
NUM_EXIST_WBC_ACCTS_18 x DRIVERS_LICENCE_IND_2_1,-0.007987566,-0.006953142,-0.007246838,-0.010441122,-0.001943405,-0.008808733,-0.005489053
NUM_EXIST_WBC_ACCTS_2 x SECURED_LOAN_PURPOSE_CODE_2,-0.00847954,-0.006808858,-0.006403329,-0.014075812,0,-0.010284999,-0.002921224
NUM_EXIST_WBC_ACCTS_0 x SECURED_LOAN_PURPOSE_CODE_3,-0.008470204,-0.006742034,-0.006976576,-0.015470292,0,-0.009223779,-0.002717116
NUM_EXIST_WBC_ACCTS_5 x SECURED_LOAN_PURPOSE_CODE_4,0.008447193,0.006733483,0.006429306,0,0.014343964,0.002662878,0.010498418
NUM_EXIST_WBC_ACCTS_13 x DRIVERS_LICENCE_IND_2_0,0.008370522,0.006639919,0.006299568,0.000963741,0.012813907,0.004350124,0.008757518
NUM_EXIST_WBC_ACCTS_13 x DRIVERS_LICENCE_IND_2_1,-0.008370468,-0.006639884,-0.006299593,-0.012813796,-0.000963778,-0.008757539,-0.004349986
NUM_EXIST_WBC_ACCTS_17 x DRIVERS_LICENCE_IND_2_0,0.007556025,0.006602549,0.006448399,0.001841109,0.010058624,0.005425908,0.008353764
NUM_EXIST_WBC_ACCTS_17 x DRIVERS_LICENCE_IND_2_1,-0.007555971,-0.006602513,-0.006448228,-0.010058424,-0.001841139,-0.008353762,-0.005425808
NUM_BUR_ENQ_L6M_1 x NUM_BUR_ENQ_LST_7TO12_MTHS_1,-0.006096477,-0.006478877,-0.006796881,-0.009989081,-0.003101829,-0.007632423,-0.004762475
NUM_EXIST_WBC_ACCTS_5 x SECURED_LOAN_PURPOSE_CODE_3,0.008195419,0.006231918,0.005330429,0,0.015073177,0.002464778,0.009388347
NUM_EXIST_WBC_ACCTS_3 x SECURED_LOAN_PURPOSE_CODE_4,0.007514817,0.005861929,0.005862823,0,0.011192853,0.002856784,0.008180528
NUM_EXIST_WBC_ACCTS_6 x SECURED_LOAN_PURPOSE_CODE_4,0.007378304,0.005832087,0.005931026,0,0.011953503,0.002754792,0.008410564
NUM_EXIST_WBC_ACCTS_6 x SECURED_LOAN_PURPOSE_CODE_2,0.007366066,0.00583034,0.005942866,0,0.011848114,0.002754757,0.008439364
NUM_EXIST_WBC_ACCTS_4 x SECURED_LOAN_PURPOSE_CODE_4,0.007030529,0.005493605,0.004898862,0,0.012171427,0.002529736,0.007834731
NUM_EXIST_WBC_ACCTS_4 x SECURED_LOAN_PURPOSE_CODE_2,0.006983388,0.005451168,0.004836224,0,0.011964899,0.002530941,0.007961659
NUM_EXIST_WBC_ACCTS_19 x DRIVERS_LICENCE_IND_2_0,0.006389243,0.005321843,0.005455001,0.001793676,0.007482475,0.004429053,0.006579576
