"","id","mean_fullfit","mean_bootstrap","median","CIlo","CIhi","Q1","Q3"
"46","NUM_APPS_2 x SECURED_LOAN_PURPOSE_CODE_2",0.03916,0.03025,0.02993,0.01973,0.04475,0.02472,0.0338
"47","NUM_EXIST_WBC_ACCTS_7 x DRIVERS_LICENCE_IND_2_1",-0.04195,-0.02753,-0.02761,-0.04491,-0.00728,-0.03749,-0.01932
"48","NUM_EXIST_WBC_ACCTS_7 x DRIVERS_LICENCE_IND_2_0",0.04195,0.02753,0.02761,0.00728,0.04491,0.01932,0.03749
"49","NUM_EXIST_WBC_ACCTS_0 x DRIVERS_LICENCE_IND_2_0",-0.01539,-0.02608,-0.0269,-0.04889,-0.005,-0.03422,-0.01814
"50","NUM_EXIST_WBC_ACCTS_0 x DRIVERS_LICENCE_IND_2_1",0.01539,0.02608,0.0269,0.005,0.04889,0.01814,0.03422
"51","NUM_APPS_1 x SECURED_LOAN_PURPOSE_CODE_3",-0.01056,-0.02382,-0.02258,-0.03854,-0.0114,-0.02918,-0.01787
"52","NUM_EXIST_WBC_ACCTS_3 x DRIVERS_LICENCE_IND_2_1",-0.03029,-0.0237,-0.02315,-0.04637,-0.00789,-0.03093,-0.0146
"53","NUM_EXIST_WBC_ACCTS_3 x DRIVERS_LICENCE_IND_2_0",0.03029,0.0237,0.02315,0.00789,0.04637,0.0146,0.03093
"54","NUM_APPS_2 x SECURED_LOAN_PURPOSE_CODE_4",0.0178,0.02279,0.02314,0.01376,0.0332,0.0187,0.02577
"55","DRIVERS_LICENCE_IND_2_1",0.15407,0.02202,0.01833,0.00817,0.04399,0.01433,0.02486
"56","NUM_EXIST_WBC_ACCTS_9",-0.11472,-0.02019,-0.01914,-0.0441,-0.00264,-0.02599,-0.01079
"57","NUM_EXIST_WBC_MCD_BCD_ACCTS",-0.07872,-0.01946,-0.01233,-0.07085,0,-0.0286,0
"58","DRIVERS_LICENCE_IND_2_0",-0.08435,-0.01887,-0.01776,-0.02932,-0.00812,-0.02187,-0.01407
"59","NUM_APPS_2 x SECURED_LOAN_PURPOSE_CODE_3",0.0031,0.01877,0.01848,0.01136,0.02915,0.01388,0.02178
"60","NUM_EXIST_WBC_ACCTS_6 x DRIVERS_LICENCE_IND_2_1",0.01855,-0.01822,-0.01736,-0.04415,0.00012,-0.02408,-0.01034
"61","NUM_EXIST_WBC_ACCTS_6 x DRIVERS_LICENCE_IND_2_0",-0.01855,0.01822,0.01736,-0.00012,0.04415,0.01034,0.02408
"62","NUM_EXIST_WBC_ACCTS_8 x DRIVERS_LICENCE_IND_2_1",-0.02005,-0.01787,-0.019,-0.03163,-0.00393,-0.02349,-0.01224
