"","id","mean_fullfit","mean_bootstrap","median","CIlo","CIhi","Q1","Q3"
"186","NUM_EXIST_WBC_ACCTS_10 x NUM_APPS",-0.02445,-0.00138,-0.00046,-0.00607,0,-0.00193,0
"187","NUM_EXIST_WBC_ACCTS_9 x NUM_APPS",-0.01784,-0.00133,-6e-04,-0.00517,0,-0.00232,0
"188","NUM_BUR_ENQ_LST_7TO12_MTHS_1 x WORST_DAYS_IN_EXCESS_AT_APPL",0.00057,0.00132,0,0,0.0048,0,0.00226
"189","SECURED_LOAN_PURPOSE_CODE_2",-0.00215,-0.0013,-0.00182,-0.00656,0.00527,-0.00501,0.00129
"190","NUM_EXIST_WBC_ACCTS_8 x NUM_APPS",-0.01019,-0.00126,-0.00018,-0.00511,0,-0.00202,0
"191","NUM_EXIST_WBC_ACCTS_15",-0.04182,-0.00114,-0.00083,-0.00488,0.00201,-0.00296,0.00065
"192","NUM_EXIST_WBC_ACCTS_22",8e-04,0.00112,0.00108,-0.00019,0.00319,-1e-04,0.00227
"193","DRIVERS_LICENCE_IND_2_0 x SEC_FLAG",0.02647,0.00112,0,0,0.00426,0,0
"194","DRIVERS_LICENCE_IND_2_1 x SEC_FLAG",-0.02647,-0.00112,0,-0.00426,0,0,0
"195","DRIVERS_LICENCE_IND_1_1 x NUM_EXIST_WBC_ACCTS_3",0.05329,0.00108,0,0,0.00077,0,0
"196","DRIVERS_LICENCE_IND_1_0 x NUM_EXIST_WBC_ACCTS_3",-0.05329,-0.00108,0,-0.00077,0,0,0
"197","NUM_EXIST_WBC_ACCTS_3 x NUM_EXIST_WBC_ACCTS",0.01685,0.00102,0,0,0.00811,0,0
"198","NUM_EXIST_WBC_ACCTS_14",-0.0471,0.00097,0.00071,-0.00284,0.00778,-0.00111,0.00205
"199","NUM_BUR_ENQ_L6M_1 x WORST_DAYS_IN_EXCESS_AT_APPL",0.00218,0.00092,3e-05,0,0.00372,0,0.00177
"200","NUM_EXIST_WBC_ACCTS_6 x NUM_APPS",0.02659,0.00092,0,-0.00046,0.00574,0,0.00099
"201","NUM_EXIST_WBC_ACCTS_11",-0.03259,-0.00091,-0.00086,-0.01312,0.01064,-0.00592,0.00413
"202","NUM_EXIST_WBC_ACCTS_16 x NA",0.00968,-0.00089,-0.00087,-0.00186,0,-0.00122,-0.00059
"203","NUM_EXIST_WBC_CHQ_ACCTS x WORST_DAYS_IN_EXCESS_AT_APPL",-0.00181,-0.00086,-4e-05,-0.00424,0,-0.00155,0
"204","NUM_EXIST_WBC_ACCTS_18 x NA",-0.00564,-0.00084,-0.00081,-0.00165,0,-0.00114,-0.00058
"205","NUM_EXIST_WBC_ACCTS_11 x LN_PROTECTION_INS_IND_0",-0.00623,-0.00084,-0.00023,-0.00361,0,-0.00117,0
"206","NUM_EXIST_WBC_ACCTS_11 x LN_PROTECTION_INS_IND_1",0.00623,0.00084,0.00023,0,0.00361,0,0.00117
"207","NUM_EXIST_WBC_ACCTS_29 x NA",0.00284,-0.00081,-0.00077,-0.00166,0,-0.00111,-0.00054
"208","NUM_EXIST_WBC_ACCTS_17 x NA",-0.00163,-0.00081,-0.00078,-0.00169,0,-0.00111,-0.00055
"209","NUM_EXIST_WBC_ACCTS_15 x NA",-0.00368,-0.00081,-0.00079,-0.00164,0,-0.00108,-0.00058
"210","NUM_EXIST_WBC_ACCTS_0 x NUM_APPS",-0.02334,-0.00079,-0.00019,-0.00324,0,-0.00094,0
"211","NUM_EXIST_WBC_ACCTS_23 x NA",0.00185,-0.00078,-0.00076,-0.00155,0,-0.00108,-0.00053
"212","NUM_EXIST_WBC_ACCTS_19 x NA",-0.00113,-0.00078,-0.00076,-0.00156,0,-0.00106,-0.00054
"213","NUM_EXIST_WBC_ACCTS_27 x NA",0.00205,-0.00077,-0.00076,-0.00153,0,-0.00106,-0.00052
"214","NUM_EXIST_WBC_ACCTS_25 x NA",0.00187,-0.00077,-0.00076,-0.00153,0,-0.00106,-0.00052
"215","NUM_EXIST_WBC_ACCTS_26 x NA",0.00192,-0.00077,-0.00076,-0.00153,0,-0.00106,-0.00052
"216","NUM_EXIST_WBC_ACCTS_24 x NA",0.00167,-0.00077,-0.00076,-0.00153,0,-0.00106,-0.00052
"217","NUM_EXIST_WBC_ACCTS_28 x NA",0.00204,-0.00077,-0.00075,-0.00152,0,-0.00106,-0.00052
"218","NUM_EXIST_WBC_ACCTS_21 x NA",0.00121,-0.00077,-0.00075,-0.00153,0,-0.00105,-0.00052
"219","NUM_EXIST_WBC_MCD_BCD_ACCTS x WORST_DAYS_IN_EXCESS_AT_APPL",-0.0022,-0.00077,0,-0.00482,0,0,0
"220","NUM_APPS_1 x NUM_APPS",0.00353,0.00076,0,0,0.00563,0,0
"221","NUM_EXIST_WBC_ACCTS_17 x LN_PROTECTION_INS_IND_0",-0.00545,-0.00074,-0.00035,-0.00288,0,-0.0011,0
"222","NUM_EXIST_WBC_ACCTS_17 x LN_PROTECTION_INS_IND_1",0.00545,0.00074,0.00035,0,0.00288,0,0.0011
"223","NUM_EXIST_WBC_ACCTS_20 x NA",0.00204,-0.00074,-0.00071,-0.00144,0,-0.00102,-0.00051
"224","NUM_EXIST_WBC_ACCTS_22 x NA",0.01314,-0.00073,-0.00073,-0.0015,0,-0.00097,-0.00051
"225","NUM_EXIST_WBC_ACCTS_7 x LN_PROTECTION_INS_IND_0",-0.00576,-0.00069,0,-0.0048,8e-04,-0.00101,0
"226","NUM_EXIST_WBC_ACCTS_7 x LN_PROTECTION_INS_IND_1",0.00576,0.00069,0,-8e-04,0.0048,0,0.00101
"227","NUM_EXIST_WBC_ACCTS_29 x LN_PROTECTION_INS_IND_0",-0.00401,-0.00068,-0.00033,-0.00238,0,-0.00116,0
"228","NUM_EXIST_WBC_ACCTS_29 x LN_PROTECTION_INS_IND_1",0.00401,0.00068,0.00033,0,0.00238,0,0.00116
"229","NUM_EXIST_WBC_ACCTS_9 x LN_PROTECTION_INS_IND_0",-0.00416,-0.00068,-0.00012,-0.00301,5e-05,-0.00077,0
"230","NUM_EXIST_WBC_ACCTS_9 x LN_PROTECTION_INS_IND_1",0.00416,0.00068,0.00012,-5e-05,0.00301,0,0.00077
"231","NUM_EXIST_WBC_ACCTS_14 x LN_PROTECTION_INS_IND_0",-0.00284,-0.00067,-0.00036,-0.00268,0,-0.00098,0
"232","NUM_EXIST_WBC_ACCTS_14 x LN_PROTECTION_INS_IND_1",0.00284,0.00067,0.00036,0,0.00268,0,0.00098
"233","NUM_EXIST_WBC_ACCTS_16 x LN_PROTECTION_INS_IND_0",-0.00313,-0.00066,-0.00032,-0.00251,0,-0.00096,0
"234","NUM_EXIST_WBC_ACCTS_16 x LN_PROTECTION_INS_IND_1",0.00313,0.00066,0.00032,0,0.00251,0,0.00096
"235","DRIVERS_LICENCE_IND_1_1 x NUM_EXIST_WBC_ACCTS_4",0.0131,0.00066,0,0,0.00019,0,0
"236","DRIVERS_LICENCE_IND_1_0 x NUM_EXIST_WBC_ACCTS_4",-0.0131,-0.00066,0,-0.00019,0,0,0
"237","NUM_EXIST_WBC_ACCTS_1 x NUM_EXIST_WBC_ACCTS",-0.02189,-0.00065,0,-0.00381,0,0,0
"238","NUM_EXIST_WBC_ACCTS_18 x LN_PROTECTION_INS_IND_0",-0.00306,-0.00064,-3e-04,-0.0021,0,-0.00099,0
"239","NUM_EXIST_WBC_ACCTS_18 x LN_PROTECTION_INS_IND_1",0.00306,0.00064,3e-04,0,0.00209,0,0.00099
"240","LN_PROTECTION_INS_IND_0 x DRIVERS_LICENCE_IND_2",-0.00076,-0.00063,-0.00063,-0.00083,-0.00046,-0.00069,-0.00056
"241","LN_PROTECTION_INS_IND_1 x DRIVERS_LICENCE_IND_2",0.00076,0.00063,0.00063,0.00046,0.00083,0.00056,0.00069
"242","NUM_EXIST_WBC_ACCTS_12 x LN_PROTECTION_INS_IND_0",-0.0068,-0.00062,-0.00027,-0.00219,0,-0.00104,0
"243","NUM_EXIST_WBC_ACCTS_12 x LN_PROTECTION_INS_IND_1",0.0068,0.00062,0.00027,0,0.00219,0,0.00104
"244","NUM_EXIST_WBC_ACCTS_27 x LN_PROTECTION_INS_IND_0",-0.00236,-0.00061,-0.00028,-0.00227,0,-0.00099,0
"245","NUM_EXIST_WBC_ACCTS_27 x LN_PROTECTION_INS_IND_1",0.00236,0.00061,0.00028,0,0.00227,0,0.00099
"246","NUM_EXIST_WBC_ACCTS_26 x LN_PROTECTION_INS_IND_0",-0.00234,-0.00061,-0.00028,-0.00227,0,-0.00098,0
"247","NUM_EXIST_WBC_ACCTS_26 x LN_PROTECTION_INS_IND_1",0.00234,0.00061,0.00028,0,0.00227,0,0.00098
"248","NUM_EXIST_WBC_ACCTS_25 x LN_PROTECTION_INS_IND_0",-0.00231,-0.00061,-0.00028,-0.00227,0,-0.00099,0
"249","NUM_EXIST_WBC_ACCTS_25 x LN_PROTECTION_INS_IND_1",0.00231,0.00061,0.00028,0,0.00227,0,0.00099
"250","NUM_EXIST_WBC_ACCTS_24 x LN_PROTECTION_INS_IND_0",-0.00233,-0.00061,-0.00028,-0.00226,0,-0.00099,0
"251","NUM_EXIST_WBC_ACCTS_24 x LN_PROTECTION_INS_IND_1",0.00233,0.00061,0.00028,0,0.00226,0,0.00099
"252","NUM_EXIST_WBC_ACCTS_19",0.00113,-0.00061,-0.00058,-0.00096,-4e-04,-0.00069,-5e-04
"253","NUM_EXIST_WBC_ACCTS_7 x NUM_APPS",0.01333,-6e-04,0,-0.00556,0.00163,-0.00047,0
"254","NUM_EXIST_WBC_ACCTS_28 x LN_PROTECTION_INS_IND_0",-0.00225,-6e-04,-0.00028,-0.00226,0,-0.00096,0
"255","NUM_EXIST_WBC_ACCTS_28 x LN_PROTECTION_INS_IND_1",0.00225,6e-04,0.00028,0,0.00226,0,0.00096
"256","NUM_EXIST_WBC_ACCTS_23 x LN_PROTECTION_INS_IND_0",-0.00217,-6e-04,-0.00028,-0.00224,0,-0.00098,0
"257","NUM_EXIST_WBC_ACCTS_23 x LN_PROTECTION_INS_IND_1",0.00217,6e-04,0.00028,0,0.00224,0,0.00098
"258","NUM_EXIST_WBC_ACCTS_21 x LN_PROTECTION_INS_IND_0",-0.00204,-6e-04,-0.00028,-0.0022,0,-0.00097,0
"259","NUM_EXIST_WBC_ACCTS_21 x LN_PROTECTION_INS_IND_1",0.00204,6e-04,0.00028,0,0.0022,0,0.00097
"260","NUM_EXIST_WBC_ACCTS_19 x LN_PROTECTION_INS_IND_0",-0.00217,-6e-04,-0.00027,-0.00221,0,-0.00097,0
"261","NUM_EXIST_WBC_ACCTS_19 x LN_PROTECTION_INS_IND_1",0.00217,6e-04,0.00027,0,0.00221,0,0.00097
"262","NUM_EXIST_WBC_ACCTS_15 x LN_PROTECTION_INS_IND_0",-0.00191,-0.00056,-0.00028,-0.00238,0,-7e-04,0
"263","NUM_EXIST_WBC_ACCTS_15 x LN_PROTECTION_INS_IND_1",0.00191,0.00056,0.00028,0,0.00238,0,7e-04
"264","NUM_EXIST_WBC_ACCTS_13 x LN_PROTECTION_INS_IND_0",-0.00063,-0.00054,-2e-04,-0.00211,0,-0.00075,0
"265","NUM_EXIST_WBC_ACCTS_13 x LN_PROTECTION_INS_IND_1",0.00063,0.00054,2e-04,0,0.00211,0,0.00075
"266","NUM_EXIST_WBC_ACCTS_22 x LN_PROTECTION_INS_IND_0",-0.00116,-0.00053,-0.00022,-0.00192,0,-0.00094,0
"267","NUM_EXIST_WBC_ACCTS_22 x LN_PROTECTION_INS_IND_1",0.00116,0.00053,0.00022,0,0.00192,0,0.00094
"268","NUM_APPS_2 x NUM_APPS",-0.00226,-5e-04,0,-0.00368,0,0,0
"269","LN_PROTECTION_INS_IND_0 x NUM_APPS",0.00478,0.00048,0,0,0.00312,0,0
"270","LN_PROTECTION_INS_IND_1 x NUM_APPS",-0.00478,-0.00048,0,-0.00312,0,0,0
"271","DRIVERS_LICENCE_IND_1_0 x NUM_EXIST_WBC_ACCTS_0",0.05599,0.00044,0,0,0.00032,0,0
"272","DRIVERS_LICENCE_IND_1_1 x NUM_EXIST_WBC_ACCTS_0",-0.05599,-0.00044,0,-0.00032,0,0,0
"273","DRIVERS_LICENCE_IND_1_0 x NUM_EXIST_WBC_ACCTS_1",-0.03776,0.00044,0,0,0.00035,0,0
"274","DRIVERS_LICENCE_IND_1_1 x NUM_EXIST_WBC_ACCTS_1",0.03776,-0.00044,0,-0.00035,0,0,0
"275","NUM_EXIST_WBC_ACCTS_20 x LN_PROTECTION_INS_IND_0",0.00082,-0.00044,-0.00022,-0.00171,0,-0.00061,0
"276","NUM_EXIST_WBC_ACCTS_20 x LN_PROTECTION_INS_IND_1",-0.00082,0.00044,0.00022,0,0.00171,0,0.00061
"277","NUM_BUR_ENQ_LST_7TO12_MTHS_1 x TIME_WITH_BANK_1",0.00053,0.00044,0.00043,0.00032,0.00056,0.00037,5e-04
"278","NUM_APPS_0 x SECURED_LOAN_PURPOSE_CODE_2",0.00118,0.00043,0.00071,-0.00157,0.00221,-0.00021,0.00144
"279","NUM_EXIST_WBC_ACCTS_13 x NUM_APPS",-0.007,-0.00037,-7e-05,-0.00168,0,-0.00046,0
"280","NUM_EXIST_WBC_ACCTS_16 x NUM_APPS",-0.0073,-0.00037,-0.00015,-0.00143,0,-0.00051,0
"281","TOT_MTH_MTGE_PYMTS",-0.00049,-0.00036,-0.00036,-0.00041,-0.00032,-0.00037,-0.00034
"282","NUM_EXIST_WBC_ACCTS_7 x NA",0.02354,0.00034,0,-0.00554,0.00722,-0.00144,0.00166
"283","NUM_EXIST_WBC_ACCTS_5 x NUM_EXIST_WBC_ACCTS",0.00163,0.00033,0,0,0.0019,0,0
"284","NUM_EXIST_WBC_ACCTS_14 x NUM_APPS",0.01634,-0.00032,-2e-05,-0.0016,0.00034,-0.00038,0
"285","NUM_EXIST_WBC_ACCTS_29 x NUM_APPS",-0.00386,-3e-04,-0.00016,-0.00119,0,-0.00044,0
"286","NUM_EXIST_WBC_ACCTS_18 x NUM_APPS",-0.00381,-3e-04,-0.00014,-0.00118,0,-0.00046,0
"287","NUM_EXIST_WBC_ACCTS_14 x NA",-0.01578,3e-04,0.00017,-0.00102,0.00176,-0.00018,0.00094
"288","NUM_EXIST_WBC_ACCTS_23 x NUM_APPS",-0.00367,-0.00029,-0.00015,-0.00117,0,-0.00044,0
"289","NUM_EXIST_WBC_ACCTS_1 x SEC_FLAG",-0.0723,-0.00029,0,0,0,0,0
"290","NUM_EXIST_WBC_ACCTS_28 x NUM_APPS",-0.00343,-0.00029,-0.00015,-0.00123,0,-0.00045,0
"291","NUM_EXIST_WBC_ACCTS_19 x NUM_APPS",-0.00361,-0.00029,-0.00014,-0.00118,0,-0.00046,0
"292","NUM_EXIST_WBC_ACCTS_20 x NUM_APPS",-0.00284,-0.00028,-0.00013,-0.00116,0,-0.00041,0
"293","NUM_EXIST_WBC_ACCTS_17 x NUM_APPS",-0.00156,-0.00028,-1e-05,-0.0013,9e-05,-4e-04,0
"294","NUM_EXIST_WBC_ACCTS_21 x NUM_APPS",-0.00285,-0.00028,-0.00014,-0.00114,0,-0.00044,0
"295","NUM_EXIST_WBC_ACCTS_24 x NUM_APPS",-0.00272,-0.00027,-0.00013,-0.00113,0,-0.00042,0
"296","NUM_EXIST_WBC_ACCTS_26 x NUM_APPS",-0.00264,-0.00027,-0.00013,-0.00113,0,-0.00042,0
"297","NUM_EXIST_WBC_ACCTS_25 x NUM_APPS",-0.00263,-0.00027,-0.00013,-0.00113,0,-0.00042,0
"298","NUM_EXIST_WBC_ACCTS_27 x NUM_APPS",-0.00263,-0.00027,-0.00013,-0.00113,0,-0.00042,0
"299","NUM_APPS_0 x NUM_APPS",-0.00127,-0.00026,0,-0.00195,0,0,0
"300","NUM_EXIST_WBC_ACCTS_22 x NUM_APPS",-0.00086,-0.00023,-9e-05,-0.00084,0,-0.00041,0
"301","TIME_WITH_BANK_1 x NUM_EXIST_WBC_MCD_ACCTS",3e-04,0.00021,0.00022,0,0.00047,3e-05,0.00034
"302","NUM_EXIST_WBC_ACCTS_15 x NUM_APPS",0.00257,-2e-04,-1e-05,-0.00077,1e-05,-0.00036,0
"303","NUM_EXIST_WBC_ACCTS_21",7e-05,-2e-04,-0.00018,-0.00039,-5e-05,-0.00028,-0.00013
"304","DRIVERS_LICENCE_IND_1_1 x NUM_EXIST_WBC_ACCTS_7",0.00351,0.00018,0,0,0,0,0
"305","DRIVERS_LICENCE_IND_1_0 x NUM_EXIST_WBC_ACCTS_7",-0.00351,-0.00018,0,0,0,0,0
"306","NUM_EXIST_WBC_ACCTS_6 x NUM_EXIST_WBC_ACCTS",0.00664,0.00017,0,0,0.00101,0,0
"307","NUM_EXIST_WBC_ACCTS_23",0.00046,-0.00016,-0.00013,-0.00041,-2e-05,-0.00026,-6e-05
"308","NUM_EXIST_WBC_ACCTS_4 x NUM_EXIST_WBC_ACCTS",-0.00265,0.00016,0,0,0.00106,0,0
"309","NUM_EXIST_WBC_ACCTS_2 x NUM_EXIST_WBC_ACCTS",0.00271,0.00016,0,0,0.00081,0,0
"310","DRIVERS_LICENCE_IND_1_1 x NUM_EXIST_WBC_ACCTS_5",-0.00262,0.00016,0,0,9e-05,0,0
"311","DRIVERS_LICENCE_IND_1_0 x NUM_EXIST_WBC_ACCTS_5",0.00262,-0.00016,0,-9e-05,0,0,0
"312","LN_PROTECTION_INS_IND_0 x SECURED_LOAN_PURPOSE_CODE",-0.00228,-0.00015,0,-0.00066,0,-0.00026,0
"313","LN_PROTECTION_INS_IND_1 x SECURED_LOAN_PURPOSE_CODE",0.00228,0.00015,0,0,0.00066,0,0.00026
"314","NUM_EXIST_WBC_ACCTS_18",-0.01043,0.00014,0.00027,-0.00152,0.00217,-0.00112,0.00067
"315","NUM_EXIST_WBC_ACCTS_7 x NUM_EXIST_WBC_ACCTS",0.00144,-0.00013,0,-0.00067,0,0,0
"316","NUM_EXIST_WBC_ACCTS_11 x NA",0.01184,0.00013,2e-05,-0.00124,0.00129,-0.00011,0.00039
"317","NUM_EXIST_WBC_ACCTS_2 x SEC_FLAG",0.05427,0.00012,0,0,0,0,0
"318","NUM_EXIST_WBC_ACCTS_8 x NA",-0.02473,0.00012,0,-0.00269,0.00247,-0.00074,0.00141
"319","DRIVERS_LICENCE_IND_1_0 x NA",0.02295,0.00012,0,0,0.00016,0,0
"320","DRIVERS_LICENCE_IND_1_1 x NA",-0.02295,-0.00012,0,-0.00016,0,0,0
"321","NUM_EXIST_WBC_ACCTS_9 x NUM_EXIST_WBC_ACCTS",-0.00016,-0.00011,0,-4e-04,0,0,0
"322","NUM_EXIST_WBC_ACCTS_4 x SEC_FLAG",-0.07361,-0.00011,0,0,0,0,0
"323","NUM_EXIST_WBC_ACCTS_5 x SEC_FLAG",-0.06032,-1e-04,0,0,0,0,0
"324","NUM_EXIST_WBC_ACCTS_6 x SEC_FLAG",0.00218,1e-04,0,0,0,0,0
"325","NUM_EXIST_WBC_ACCTS_8 x LN_PROTECTION_INS_IND_0",0.00057,-1e-04,0,-0.00269,0.00147,-0.00035,0
"326","NUM_EXIST_WBC_ACCTS_8 x LN_PROTECTION_INS_IND_1",-0.00057,1e-04,0,-0.00147,0.00269,0,0.00035
"327","NUM_EXIST_WBC_ACCTS_28",-2e-04,-1e-04,-7e-05,-0.00029,0,-0.00015,0
"328","NUM_EXIST_WBC_ACCTS_13 x NUM_EXIST_WBC_ACCTS",-0.00096,-1e-04,0,-0.00075,0,0,0
"329","NUM_EXIST_WBC_ACCTS_1 x DRIVERS_LICENCE_IND_2",-0.00063,-9e-05,-2e-05,-0.00034,0,-0.00014,0
"330","NUM_APPS_1 x DRIVERS_LICENCE_IND_2",-0.00054,-9e-05,-3e-05,-0.00039,0,-0.00011,0
"331","DRIVERS_LICENCE_IND_1_0 x NUM_EXIST_WBC_ACCTS_17",0.00292,9e-05,0,0,4e-05,0,0
"332","DRIVERS_LICENCE_IND_1_1 x NUM_EXIST_WBC_ACCTS_17",-0.00292,-9e-05,0,-4e-05,0,0,0
"333","NUM_EXIST_WBC_ACCTS_10 x NUM_EXIST_WBC_ACCTS",-0.00113,-9e-05,0,-4e-04,0,0,0
"334","TIME_WITH_BANK_1 x NUM_EXIST_WBC_CHQ_ACCTS",5e-05,9e-05,3e-05,0,0.00034,0,0.00015
"335","DRIVERS_LICENCE_IND_1_0 x NUM_EXIST_WBC_ACCTS_29",0.0044,9e-05,0,0,6e-05,0,0
"336","DRIVERS_LICENCE_IND_1_1 x NUM_EXIST_WBC_ACCTS_29",-0.0044,-9e-05,0,-6e-05,0,0,0
"337","NUM_EXIST_WBC_ACCTS_13 x NA",0.00508,9e-05,2e-05,-0.00095,0.00099,-0.00023,0.00042
"338","DRIVERS_LICENCE_IND_1_0 x NUM_EXIST_WBC_ACCTS_20",0.0054,8e-05,0,0,5e-05,0,0
"339","DRIVERS_LICENCE_IND_1_1 x NUM_EXIST_WBC_ACCTS_20",-0.0054,-8e-05,0,-5e-05,0,0,0
"340","NUM_EXIST_WBC_ACCTS_2 x DRIVERS_LICENCE_IND_2",-0.00057,-8e-05,-2e-05,-0.00035,0,-0.00011,0
"341","DRIVERS_LICENCE_IND_1_0 x NUM_EXIST_WBC_ACCTS_14",0.00584,8e-05,0,0,5e-05,0,0
"342","DRIVERS_LICENCE_IND_1_1 x NUM_EXIST_WBC_ACCTS_14",-0.00584,-8e-05,0,-5e-05,0,0,0
"343","DRIVERS_LICENCE_IND_1_0 x NUM_EXIST_WBC_ACCTS_15",0.00122,8e-05,0,0,3e-05,0,0
"344","DRIVERS_LICENCE_IND_1_1 x NUM_EXIST_WBC_ACCTS_15",-0.00122,-8e-05,0,-3e-05,0,0,0
"345","NUM_EXIST_WBC_ACCTS_0 x SEC_FLAG",-0.03988,-8e-05,0,0,0,0,0
"346","DRIVERS_LICENCE_IND_1_0 x NUM_EXIST_WBC_ACCTS_12",0.00063,7e-05,0,0,6e-05,0,0
"347","DRIVERS_LICENCE_IND_1_1 x NUM_EXIST_WBC_ACCTS_12",-0.00063,-7e-05,0,-6e-05,0,0,0
"348","DRIVERS_LICENCE_IND_1_0 x NUM_EXIST_WBC_ACCTS_22",0.00385,7e-05,0,0,4e-05,0,0
"349","DRIVERS_LICENCE_IND_1_1 x NUM_EXIST_WBC_ACCTS_22",-0.00385,-7e-05,0,-4e-05,0,0,0
"350","DRIVERS_LICENCE_IND_1_1 x NUM_EXIST_WBC_ACCTS_9",-0.00015,7e-05,0,0,0,0,0
"351","DRIVERS_LICENCE_IND_1_0 x NUM_EXIST_WBC_ACCTS_9",0.00015,-7e-05,0,0,0,0,0
"352","NUM_EXIST_WBC_ACCTS_15 x NUM_EXIST_WBC_ACCTS",-0.00356,-7e-05,0,-0.00049,0,0,0
"353","DRIVERS_LICENCE_IND_1_0 x NUM_EXIST_WBC_ACCTS_26",0.00279,7e-05,0,0,4e-05,0,0
"354","DRIVERS_LICENCE_IND_1_1 x NUM_EXIST_WBC_ACCTS_26",-0.00279,-7e-05,0,-4e-05,0,0,0
"355","DRIVERS_LICENCE_IND_1_0 x NUM_EXIST_WBC_ACCTS_27",0.00278,7e-05,0,0,4e-05,0,0
"356","DRIVERS_LICENCE_IND_1_1 x NUM_EXIST_WBC_ACCTS_27",-0.00278,-7e-05,0,-4e-05,0,0,0
"357","DRIVERS_LICENCE_IND_1_0 x NUM_EXIST_WBC_ACCTS_25",0.00273,7e-05,0,0,4e-05,0,0
"358","DRIVERS_LICENCE_IND_1_1 x NUM_EXIST_WBC_ACCTS_25",-0.00273,-7e-05,0,-4e-05,0,0,0
"359","DRIVERS_LICENCE_IND_1_0 x NUM_EXIST_WBC_ACCTS_24",0.00269,7e-05,0,0,4e-05,0,0
"360","DRIVERS_LICENCE_IND_1_1 x NUM_EXIST_WBC_ACCTS_24",-0.00269,-7e-05,0,-4e-05,0,0,0
"361","DRIVERS_LICENCE_IND_1_0 x NUM_EXIST_WBC_ACCTS_21",0.00241,7e-05,0,0,4e-05,0,0
"362","DRIVERS_LICENCE_IND_1_1 x NUM_EXIST_WBC_ACCTS_21",-0.00241,-7e-05,0,-4e-05,0,0,0
"363","DRIVERS_LICENCE_IND_1_0 x NUM_EXIST_WBC_ACCTS_28",0.00266,7e-05,0,0,4e-05,0,0
"364","DRIVERS_LICENCE_IND_1_1 x NUM_EXIST_WBC_ACCTS_28",-0.00266,-7e-05,0,-4e-05,0,0,0
"365","NUM_EXIST_WBC_ACCTS_3 x SEC_FLAG",-0.02928,7e-05,0,0,0,0,0
"366","DRIVERS_LICENCE_IND_1_0 x NUM_EXIST_WBC_ACCTS_23",0.00256,6e-05,0,0,4e-05,0,0
"367","DRIVERS_LICENCE_IND_1_1 x NUM_EXIST_WBC_ACCTS_23",-0.00256,-6e-05,0,-4e-05,0,0,0
"368","DRIVERS_LICENCE_IND_1_0 x NUM_EXIST_WBC_ACCTS_19",0.0022,6e-05,0,0,4e-05,0,0
"369","DRIVERS_LICENCE_IND_1_1 x NUM_EXIST_WBC_ACCTS_19",-0.0022,-6e-05,0,-4e-05,0,0,0
"370","DRIVERS_LICENCE_IND_1_0 x NUM_EXIST_WBC_ACCTS_18",0.00295,6e-05,0,0,5e-05,0,0
"371","DRIVERS_LICENCE_IND_1_1 x NUM_EXIST_WBC_ACCTS_18",-0.00295,-6e-05,0,-5e-05,0,0,0
"372","NUM_EXIST_WBC_ACCTS_17 x NUM_EXIST_WBC_ACCTS",-0.00228,-6e-05,0,-0.00048,0,0,0
"373","NUM_EXIST_WBC_ACCTS_8 x SEC_FLAG",-0.00981,-6e-05,0,0,0,0,0
"374","NUM_APPS_2 x DRIVERS_LICENCE_IND_2",0.00035,6e-05,2e-05,0,0.00026,0,7e-05
"375","DRIVERS_LICENCE_IND_1_0 x NUM_EXIST_WBC_ACCTS_16",0.00408,6e-05,0,0,5e-05,0,0
"376","DRIVERS_LICENCE_IND_1_1 x NUM_EXIST_WBC_ACCTS_16",-0.00408,-6e-05,0,-5e-05,0,0,0
"377","NUM_EXIST_WBC_ACCTS_29 x SEC_FLAG",0.08576,6e-05,0,0,0,0,0
"378","AMT_OF_LN_PROTECTION_INS",7e-05,6e-05,6e-05,4e-05,8e-05,5e-05,7e-05
"379","NUM_EXIST_WBC_ACCTS_11 x SEC_FLAG",0.01375,6e-05,0,0,0,0,0
"380","NUM_EXIST_WBC_ACCTS_17",-0.00074,-5e-05,-0.00036,-0.00308,0.00472,-0.00162,0.00114
"381","NUM_EXIST_WBC_ACCTS_0 x NUM_EXIST_WBC_ACCTS",0.0066,5e-05,0,0,3e-04,0,0
"382","NUM_EXIST_WBC_ACCTS_9 x SEC_FLAG",-0.00491,5e-05,0,0,0,0,0
"383","NUM_EXIST_WBC_ACCTS_16 x NUM_EXIST_WBC_ACCTS",-0.00161,-5e-05,0,-0.00037,0,0,0
"384","NUM_EXIST_WBC_ACCTS_29 x NUM_EXIST_WBC_ACCTS",-0.00114,-5e-05,0,-0.00037,0,0,0
"385","NUM_EXIST_WBC_ACCTS_18 x NUM_EXIST_WBC_ACCTS",-0.00146,-5e-05,0,-0.00039,0,0,0
"386","NUM_EXIST_WBC_ACCTS_23 x NUM_EXIST_WBC_ACCTS",-0.00115,-5e-05,0,-0.00039,0,0,0
"387","NUM_EXIST_WBC_ACCTS_28 x NUM_EXIST_WBC_ACCTS",-0.00101,-5e-05,0,-0.00038,0,0,0
"388","NUM_EXIST_WBC_ACCTS_19 x NUM_EXIST_WBC_ACCTS",-0.00119,-5e-05,0,-4e-04,0,0,0
"389","TIME_WITH_BANK_1 x WORST_DAYS_IN_EXCESS_AT_APPL",1e-04,5e-05,5e-05,0,0.00012,1e-05,9e-05
